Time,DigitalTherm,Thermistor
51:11.2,6.84,5.81
51:16.9,6.8,5.81
51:22.6,6.88,5.81
51:28.3,6.86,5.81
51:34.0,6.84,5.81
51:39.6,6.88,5.88
51:45.3,6.8,5.88
51:51.0,6.88,5.88
51:56.7,6.88,5.88
52:02.4,6.84,5.88
52:08.1,6.92,5.88
52:13.8,6.86,5.94
52:19.5,6.88,5.94
52:25.2,6.92,5.94
52:30.9,6.86,5.94
52:36.5,6.92,5.94
52:42.2,6.96,5.94
52:47.9,6.88,5.94
52:53.6,6.88,6
52:59.3,6.96,6
53:05.0,6.9,6
53:10.7,6.96,6
53:16.4,6.96,6
53:22.1,6.96,6.06
53:27.8,7.02,6.06
53:33.5,6.96,6.06
53:39.1,6.96,6.06
53:44.8,7.02,6.06
53:50.5,7,6.13
53:56.2,7.02,6.13
54:01.9,7.02,6.13
54:07.6,7.02,6.13
54:13.3,7.06,6.13
54:18.9,7.08,6.13
54:24.7,7.06,6.13
54:30.3,7.08,6.19
54:36.0,7.08,6.13
54:41.7,7.06,6.19
54:47.4,7.12,6.19
54:53.1,7.15,6.19
54:58.8,7.1,6.25
55:04.5,7.12,6.25
55:10.2,7.15,6.25
55:15.9,7.1,6.25
55:21.5,7.15,6.25
55:27.2,7.15,6.25
55:32.9,7.17,6.31
55:38.6,7.23,6.31
55:44.3,7.15,6.31
55:50.0,7.15,6.31
55:55.7,7.21,6.31
56:01.4,7.23,6.38
56:07.1,7.17,6.38
56:12.8,7.27,6.38
56:18.4,7.21,6.38
56:24.1,7.29,6.38
56:29.8,7.21,6.44
56:35.5,7.27,6.44
56:41.2,7.27,6.44
56:46.9,7.29,6.44
56:52.6,7.33,6.44
56:58.2,7.29,6.44
57:03.9,7.31,6.5
57:09.6,7.33,6.5
57:15.3,7.33,6.5
57:21.0,7.35,6.5
57:26.7,7.33,6.5
57:32.4,7.39,6.56
57:38.1,7.41,6.56
57:43.8,7.33,6.56
57:49.5,7.41,6.56
57:55.1,7.41,6.56
58:00.8,7.47,6.63
58:06.5,7.41,6.63
58:12.2,7.43,6.63
58:17.9,7.45,6.63
58:23.6,7.41,6.63
58:29.3,7.49,6.63
58:35.0,7.45,6.69
58:40.7,7.47,6.69
58:46.3,7.51,6.69
58:52.0,7.49,6.75
58:57.7,7.49,6.75
59:03.4,7.55,6.75
59:09.1,7.49,6.75
59:14.8,7.53,6.75
59:20.5,7.57,6.75
59:26.2,7.53,6.75
59:31.8,7.57,6.81
59:37.6,7.59,6.81
59:43.3,7.61,6.81
59:48.9,7.61,6.81
59:54.6,7.63,6.81
00:00.3,7.59,6.88
00:06.0,7.59,6.88
00:11.7,7.63,6.88
00:17.4,7.63,6.88
00:23.0,7.69,6.94
00:28.7,7.65,6.94
00:34.4,7.69,6.94
00:40.1,7.67,6.94
00:45.8,7.67,6.94
00:51.5,7.67,6.94
00:57.2,7.72,7
01:02.9,7.74,7
01:08.6,7.74,7
01:14.3,7.76,7
01:19.9,7.72,7
01:25.6,7.8,7.06
01:31.3,7.78,7.06
01:37.0,7.78,7.06
01:42.7,7.82,7.06
01:48.4,7.78,7.06
01:54.1,7.84,7.06
01:59.8,7.78,7.06
02:05.5,7.88,7.13
02:11.1,7.84,7.13
02:16.8,7.84,7.13
02:22.5,7.88,7.19
02:28.2,7.84,7.13
02:33.9,7.86,7.19
02:39.6,7.9,7.13
02:45.3,7.88,7.19
02:51.0,7.92,7.19
02:56.7,7.94,7.19
03:02.3,7.96,7.19
03:08.0,7.94,7.19
03:13.7,7.92,7.25
03:19.4,7.96,7.25
03:25.1,7.98,7.25
03:30.8,7.98,7.25
03:36.5,8.02,7.31
03:42.2,8,7.31
03:47.9,7.98,7.31
03:53.5,8.06,7.31
03:59.2,8.04,7.31
04:04.9,8.04,7.38
04:10.6,8.06,7.31
04:16.3,8.04,7.38
04:22.0,8.08,7.38
04:27.7,8.1,7.38
04:33.4,8.1,7.38
04:39.1,8.1,7.44
04:44.8,8.06,7.44
04:50.4,8.16,7.44
04:56.1,8.1,7.44
05:01.8,8.16,7.44
05:07.5,8.16,7.44
05:13.2,8.16,7.44
05:18.9,8.2,7.5
05:24.6,8.18,7.5
05:30.2,8.2,7.5
05:35.9,8.2,7.5
05:41.6,8.26,7.5
05:47.3,8.24,7.56
05:53.0,8.26,7.5
05:58.7,8.26,7.56
06:04.4,8.22,7.56
06:10.1,8.26,7.56
06:15.8,8.28,7.56
06:21.5,8.3,7.63
06:27.1,8.3,7.63
06:32.8,8.28,7.63
06:38.5,8.32,7.63
06:44.2,8.38,7.63
06:49.9,8.3,7.63
06:55.6,8.32,7.69
07:01.3,8.38,7.69
07:07.0,8.34,7.69
07:12.7,8.36,7.69
07:18.4,8.4,7.75
07:24.1,8.34,7.69
07:29.7,8.42,7.75
07:35.4,8.42,7.75
07:41.1,8.4,7.75
07:46.8,8.42,7.75
07:52.5,8.42,7.75
07:58.2,8.4,7.81
08:03.9,8.5,7.81
08:09.5,8.42,7.81
08:15.2,8.5,7.81
08:20.9,8.48,7.81
08:26.6,8.53,7.88
08:32.3,8.57,7.81
08:38.0,8.55,7.88
08:43.7,8.57,7.88
08:49.4,8.59,7.88
08:55.1,8.55,7.88
09:00.8,8.57,7.94
09:06.4,8.57,7.88
09:12.1,8.55,7.94
09:17.8,8.63,7.94
09:23.5,8.59,7.94
09:29.2,8.65,8
09:34.9,8.63,8
09:40.6,8.61,8
09:46.3,8.67,8
09:52.0,8.65,8
09:57.6,8.67,8
10:03.3,8.69,8
10:09.0,8.67,8.06
10:14.7,8.71,8.06
10:20.4,8.69,8.06
10:26.1,8.69,8.06
10:31.8,8.77,8.06
10:37.5,8.73,8.06
10:43.1,8.77,8.06
10:48.8,8.71,8.06
10:54.5,8.75,8.13
11:00.2,8.77,8.13
11:05.9,8.77,8.13
11:11.6,8.83,8.13
11:17.3,8.85,8.19
11:23.0,8.81,8.19
11:28.6,8.77,8.19
11:34.3,8.79,8.19
11:40.1,8.83,8.19
11:45.7,8.85,8.19
11:51.4,8.83,8.19
11:57.1,8.87,8.25
12:02.8,8.93,8.25
12:08.5,8.87,8.25
12:14.2,8.85,8.25
12:19.9,8.93,8.25
12:25.6,8.95,8.31
12:31.2,8.95,8.31
12:36.9,8.89,8.31
12:42.6,8.95,8.31
12:48.3,8.93,8.31
12:54.0,8.97,8.31
12:59.7,8.95,8.31
13:05.4,8.99,8.31
13:11.0,8.99,8.38
13:16.7,9.01,8.38
13:22.4,9.01,8.38
13:28.1,9.03,8.38
13:33.8,8.99,8.38
13:39.5,9.07,8.44
13:45.2,9.01,8.44
13:50.9,9.05,8.44
13:56.6,9.03,8.44
14:02.3,9.07,8.5
14:08.0,9.05,8.44
14:13.6,9.09,8.44
14:19.3,9.11,8.5
14:25.0,9.11,8.5
14:30.7,9.09,8.5
14:36.4,9.17,8.5
14:42.1,9.15,8.56
14:47.7,9.17,8.56
14:53.4,9.13,8.56
14:59.2,9.17,8.56
15:04.8,9.17,8.56
15:10.5,9.17,8.56
15:16.2,9.17,8.56
15:21.9,9.19,8.63
15:27.6,9.23,8.63
15:33.3,9.19,8.63
15:39.0,9.23,8.63
15:44.7,9.21,8.63
15:50.3,9.27,8.69
15:56.0,9.25,8.69
16:01.7,9.25,8.69
16:07.4,9.23,8.69
16:13.1,9.29,8.69
16:18.8,9.29,8.69
16:24.5,9.29,8.69
16:30.2,9.25,8.75
16:35.9,9.29,8.75
16:41.5,9.31,8.75
16:47.2,9.33,8.75
16:52.9,9.35,8.75
16:58.6,9.31,8.75
17:04.3,9.31,8.75
17:10.0,9.35,8.81
17:15.7,9.39,8.81
17:21.4,9.33,8.81
17:27.0,9.39,8.81
17:32.7,9.37,8.81
17:38.4,9.41,8.81
17:44.1,9.39,8.88
17:49.8,9.37,8.81
17:55.5,9.41,8.88
18:01.2,9.43,8.88
18:06.9,9.43,8.88
18:12.5,9.49,8.88
18:18.3,9.45,8.88
18:23.9,9.45,8.88
18:29.6,9.47,8.94
18:35.3,9.49,8.94
18:41.0,9.51,8.94
18:46.7,9.53,8.94
18:52.4,9.47,8.94
18:58.1,9.51,9
19:03.8,9.49,9
19:09.4,9.51,9
19:15.1,9.53,9
19:20.8,9.57,9
19:26.5,9.53,9
19:32.2,9.55,9
19:37.9,9.59,9
19:43.6,9.59,9.06
19:49.3,9.65,9.06
19:54.9,9.59,9.06
20:00.6,9.59,9.06
20:06.3,9.63,9.06
20:12.0,9.63,9.06
20:17.7,9.61,9.06
20:23.4,9.63,9.06
20:29.1,9.65,9.13
20:34.8,9.65,9.13
20:40.4,9.69,9.13
20:46.2,9.69,9.13
20:51.8,9.69,9.13
20:57.5,9.69,9.19
21:03.2,9.73,9.19
21:08.9,9.71,9.19
21:14.6,9.69,9.19
21:20.3,9.67,9.19
21:25.9,9.73,9.19
21:31.6,9.75,9.19
21:37.3,9.75,9.19
21:43.0,9.71,9.25
21:48.7,9.77,9.25
21:54.4,9.77,9.25
22:00.1,9.77,9.25
22:05.8,9.77,9.25
22:11.5,9.79,9.31
22:17.2,9.81,9.31
22:22.9,9.81,9.31
22:28.5,9.79,9.31
22:34.2,9.83,9.31
22:39.9,9.83,9.31
22:45.6,9.87,9.31
22:51.3,9.83,9.31
22:57.0,9.89,9.38
23:02.7,9.87,9.31
23:08.3,9.87,9.38
23:14.0,9.91,9.38
23:19.7,9.89,9.38
23:25.4,9.85,9.38
23:31.1,9.89,9.38
23:36.8,9.93,9.44
23:42.5,9.85,9.44
23:48.2,9.97,9.44
23:53.9,9.91,9.44
23:59.6,9.93,9.44
24:05.2,9.93,9.44
24:10.9,9.99,9.44
24:16.6,9.97,9.5
24:22.3,9.99,9.44
24:28.0,10.01,9.44
24:33.7,10.01,9.5
24:39.4,9.99,9.5
24:45.1,9.97,9.5
24:50.8,10.05,9.5
24:56.5,9.99,9.5
25:02.1,10.03,9.5
25:07.8,10.03,9.5
25:13.5,10.05,9.56
25:19.2,10.03,9.56
25:24.9,10.07,9.56
25:30.6,10.11,9.56
25:36.3,10.03,9.56
25:41.9,10.15,9.56
25:47.6,10.07,9.63
25:53.3,10.07,9.63
25:59.0,9.99,9.63
26:04.7,10.05,9.69
26:10.4,10.07,9.69
26:16.1,10.03,9.69
26:21.8,9.97,9.69
26:27.5,10.01,9.69
26:33.1,10.07,9.69
26:38.8,10.03,9.69
26:44.5,10.07,9.69
26:50.2,10.05,9.69
26:55.9,10.07,9.75
27:01.6,10.03,9.69
27:07.3,10.09,9.75
27:13.0,10.09,9.75
27:18.7,10.09,9.75
27:24.3,10.11,9.75
27:30.0,10.09,9.75
27:35.7,10.07,9.81
27:41.4,10.09,9.75
27:47.1,10.09,9.75
27:52.8,10.17,9.81
27:58.5,10.11,9.81
28:04.2,10.15,9.81
28:09.9,10.17,9.81
28:15.6,10.21,9.81
28:21.2,10.13,9.88
28:26.9,10.15,9.81
28:32.6,10.19,9.88
28:38.3,10.25,9.88
28:44.0,10.21,9.88
28:49.7,10.17,9.88
28:55.3,10.25,9.88
29:01.1,10.21,9.88
29:06.7,10.27,9.88
29:12.4,10.27,9.88
29:18.1,10.25,9.88
29:23.8,10.27,9.94
29:29.5,10.27,9.94
29:35.2,10.25,9.94
29:40.9,10.31,9.94
29:46.6,10.31,9.94
29:52.2,10.29,9.94
29:57.9,10.35,9.94
30:03.6,10.33,9.94
30:09.3,10.27,10
30:15.0,10.29,10
30:20.7,10.41,10
30:26.4,10.37,10
30:32.0,10.35,10
30:37.8,10.33,10
30:43.4,10.35,10
30:49.1,10.41,10
30:54.8,10.39,10.06
31:00.5,10.39,10.06
31:06.2,10.37,10.06
31:11.9,10.39,10.06
31:17.6,10.41,10.06
31:23.3,10.41,10.06
31:28.9,10.37,10.06
31:34.6,10.41,10.06
31:40.3,10.45,10.13
31:46.0,10.49,10.13
31:51.7,10.51,10.13
31:57.4,10.49,10.13
32:03.1,10.51,10.13
32:08.8,10.47,10.13
32:14.4,10.45,10.13
32:20.1,10.51,10.13
32:25.8,10.51,10.13
32:31.5,10.53,10.19
32:37.2,10.49,10.19
32:42.9,10.51,10.19
32:48.6,10.53,10.19
32:54.3,10.57,10.19
33:00.0,10.57,10.19
33:05.7,10.59,10.19
33:11.3,10.57,10.19
33:17.0,10.63,10.19
33:22.7,10.59,10.19
33:28.4,10.61,10.25
33:34.1,10.59,10.25
33:39.8,10.59,10.25
33:45.5,10.61,10.25
33:51.1,10.61,10.25
33:56.9,10.63,10.25
34:02.5,10.63,10.31
34:08.2,10.61,10.25
34:13.9,10.61,10.31
34:19.6,10.65,10.31
34:25.3,10.67,10.31
34:31.0,10.65,10.31
34:36.7,10.63,10.31
34:42.3,10.71,10.31
34:48.0,10.67,10.31
34:53.7,10.63,10.31
34:59.4,10.69,10.38
35:05.1,10.71,10.38
35:10.8,10.69,10.38
35:16.5,10.71,10.38
35:22.2,10.75,10.38
35:27.9,10.75,10.38
35:33.5,10.71,10.38
35:39.2,10.75,10.38
35:44.9,10.75,10.38
35:50.6,10.73,10.38
35:56.3,10.79,10.44
36:02.0,10.71,10.44
36:07.7,10.79,10.38
36:13.4,10.77,10.44
36:19.1,10.77,10.44
36:24.8,10.81,10.44
36:30.4,10.75,10.44
36:36.1,10.79,10.44
36:41.8,10.81,10.44
36:47.5,10.83,10.44
36:53.2,10.83,10.44
36:58.9,10.81,10.44
37:04.6,10.87,10.5
37:10.3,10.77,10.5
37:15.9,10.81,10.5
37:21.6,10.85,10.5
37:27.3,10.83,10.5
37:33.0,10.83,10.5
37:38.7,10.85,10.5
37:44.4,10.91,10.5
37:50.1,10.85,10.56
37:55.8,10.87,10.56
38:01.4,10.89,10.56
38:07.1,10.89,10.56
38:12.8,10.93,10.56
38:18.5,10.87,10.56
38:24.2,10.93,10.56
38:29.9,10.91,10.56
38:35.6,10.93,10.56
38:41.3,10.91,10.63
38:47.0,10.93,10.56
38:52.6,10.95,10.63
38:58.3,10.95,10.63
39:04.0,10.93,10.63
39:09.7,10.95,10.63
39:15.4,10.93,10.63
39:21.1,10.99,10.63
39:26.8,10.95,10.63
39:32.5,10.99,10.63
39:38.1,10.97,10.69
39:43.8,10.95,10.69
39:49.5,10.99,10.69
39:55.2,10.97,10.69
40:00.9,10.97,10.69
40:06.6,11.05,10.69
40:12.3,10.97,10.69
40:18.0,11.03,10.69
40:23.7,11.01,10.69
40:29.3,11.03,10.69
40:35.0,11.03,10.75
40:40.7,11.05,10.69
40:46.4,11.03,10.75
40:52.1,11.03,10.69
40:57.8,11.05,10.69
41:03.5,11.05,10.75
41:09.2,11.07,10.75
41:14.8,11.03,10.75
41:20.5,11.11,10.75
41:26.2,11.09,10.75
41:31.9,11.07,10.75
41:37.6,11.15,10.75
41:43.3,11.03,10.75
41:49.0,11.11,10.81
41:54.7,11.13,10.81
42:00.4,11.11,10.75
42:06.1,11.09,10.81
42:11.7,11.13,10.81
42:17.4,11.15,10.81
42:23.1,11.11,10.81
42:28.8,11.15,10.81
42:34.5,11.17,10.81
42:40.2,11.13,10.81
42:45.9,11.15,10.81
42:51.5,11.17,10.81
42:57.2,11.19,10.81
43:02.9,11.21,10.88
43:08.6,11.19,10.88
43:14.3,11.17,10.88
43:20.0,11.17,10.88
43:25.7,11.15,10.88
43:31.4,11.19,10.88
43:37.0,11.21,10.88
43:42.8,11.21,10.88
43:48.4,11.19,10.88
43:54.1,11.23,10.88
43:59.8,11.23,10.94
44:05.5,11.21,10.94
44:11.2,11.23,10.94
44:16.9,11.23,10.94
44:22.6,11.25,10.94
44:28.2,11.23,10.94
44:34.0,11.21,10.94
44:39.6,11.27,10.94
44:45.3,11.27,10.94
44:51.0,11.25,10.94
44:56.7,11.25,10.94
45:02.4,11.33,11
45:08.1,11.27,10.94
45:13.7,11.29,11
45:19.4,11.31,11
45:25.1,11.29,11
45:30.8,11.27,11
45:36.5,11.31,11
45:42.2,11.33,11
45:47.9,11.29,11
45:53.6,11.31,11.06
45:59.2,11.31,11.06
46:04.9,11.37,11
46:10.6,11.31,11
46:16.3,11.33,11.06
46:22.0,11.33,11.06
46:27.7,11.35,11.06
46:33.4,11.35,11.06
46:39.1,11.37,11.06
46:44.8,11.37,11.06
46:50.4,11.41,11.06
46:56.1,11.37,11.06
47:01.8,11.35,11.06
47:07.5,11.41,11.06
47:13.2,11.41,11.13
47:18.9,11.35,11.06
47:24.6,11.43,11.06
47:30.3,11.41,11.13
47:35.9,11.37,11.13
47:41.6,11.39,11.13
47:47.3,11.43,11.13
47:53.0,11.41,11.13
47:58.7,11.43,11.13
48:04.4,11.39,11.13
48:10.1,11.39,11.13
48:15.8,11.45,11.13
48:21.5,11.45,11.13
48:27.2,11.49,11.13
48:32.8,11.49,11.13
48:38.5,11.49,11.19
48:44.2,11.47,11.19
48:49.9,11.49,11.19
48:55.6,11.49,11.19
49:01.3,11.51,11.19
49:07.0,11.51,11.19
49:12.6,11.51,11.19
49:18.3,11.49,11.19
49:24.1,11.49,11.25
49:29.7,11.47,11.19
49:35.4,11.49,11.25
49:41.1,11.47,11.25
49:46.8,11.53,11.25
49:52.5,11.53,11.25
49:58.1,11.53,11.25
50:03.8,11.51,11.25
50:09.5,11.53,11.25
50:15.2,11.55,11.25
50:20.9,11.53,11.25
50:26.6,11.53,11.25
50:32.3,11.57,11.31
50:38.0,11.53,11.31
50:43.7,11.57,11.25
50:49.3,11.59,11.25
50:55.0,11.57,11.31
51:00.7,11.57,11.25
51:06.4,11.63,11.31
51:12.1,11.61,11.31
51:17.8,11.61,11.31
51:23.5,11.61,11.31
51:29.2,11.69,11.31
51:34.9,11.65,11.31
51:40.5,11.63,11.31
51:46.2,11.63,11.31
51:51.9,11.63,11.31
51:57.6,11.61,11.31
52:03.3,11.61,11.38
52:09.0,11.63,11.38
52:14.7,11.63,11.38
52:20.4,11.63,11.38
52:26.1,11.69,11.38
52:31.7,11.67,11.38
52:37.4,11.67,11.38
52:43.1,11.61,11.38
52:48.8,11.69,11.38
52:54.5,11.67,11.38
53:00.2,11.67,11.38
53:05.9,11.67,11.38
53:11.6,11.67,11.38
53:17.2,11.67,11.38
53:22.9,11.65,11.44
53:28.6,11.73,11.38
53:34.3,11.71,11.44
53:40.0,11.71,11.44
53:45.7,11.73,11.44
53:51.4,11.69,11.44
53:57.1,11.71,11.44
54:02.7,11.76,11.44
54:08.4,11.69,11.44
54:14.1,11.73,11.44
54:19.8,11.76,11.44
54:25.5,11.73,11.44
54:31.2,11.74,11.5
54:36.9,11.8,11.5
54:42.6,11.71,11.44
54:48.3,11.73,11.5
54:53.9,11.8,11.5
54:59.6,11.74,11.44
55:05.3,11.76,11.5
55:11.0,11.74,11.5
55:16.7,11.78,11.5
55:22.4,11.74,11.5
55:28.1,11.8,11.5
55:33.7,11.78,11.5
55:39.4,11.76,11.5
55:45.1,11.84,11.5
55:50.8,11.76,11.5
55:56.5,11.82,11.5
56:02.2,11.78,11.5
56:07.9,11.84,11.5
56:13.6,11.82,11.5
56:19.2,11.82,11.56
56:24.9,11.8,11.56
56:30.7,11.84,11.56
56:36.3,11.8,11.56
56:42.0,11.86,11.56
56:47.7,11.8,11.56
56:53.4,11.84,11.56
56:59.1,11.86,11.56
57:04.8,11.82,11.56
57:10.4,11.88,11.56
57:16.1,11.82,11.56
57:21.8,11.88,11.56
57:27.5,11.84,11.56
57:33.2,11.9,11.56
57:38.9,11.88,11.63
57:44.6,11.86,11.63
57:50.3,11.84,11.63
57:56.0,11.9,11.63
58:01.7,11.88,11.63
58:07.3,11.88,11.63
58:13.0,11.92,11.63
58:18.7,11.88,11.63
58:24.4,11.96,11.63
58:30.1,11.86,11.63
58:35.8,11.9,11.63
58:41.4,11.96,11.63
58:47.2,11.9,11.63
58:52.8,11.92,11.63
58:58.5,11.94,11.63
59:04.2,12,11.69
59:09.9,11.96,11.69
59:15.6,11.94,11.69
59:21.3,11.94,11.69
59:27.0,11.96,11.69
59:32.6,11.94,11.69
59:38.3,11.94,11.69
59:44.0,11.96,11.69
59:49.7,12.02,11.69
59:55.4,11.94,11.69
00:01.1,11.96,11.69
00:06.5,11.98,11.75
00:12.2,11.96,11.69
00:17.9,12.04,11.69
00:23.6,11.94,11.75
00:29.3,11.98,11.75
00:35.0,12.04,11.69
00:40.7,11.92,11.75
00:46.3,12.02,11.69
00:52.0,11.98,11.75
00:57.7,12.02,11.75
01:03.4,12,11.75
01:09.1,12.02,11.75
01:14.8,12.02,11.75
01:20.5,12,11.75
01:26.2,12.02,11.75
01:31.9,12.08,11.75
01:37.5,12.04,11.75
01:43.2,12.04,11.75
01:48.9,12.02,11.81
01:54.6,12.1,11.75
02:00.3,12.04,11.81
02:06.0,12.1,11.81
02:11.7,12.06,11.81
02:17.4,12.1,11.81
02:23.1,12.1,11.81
02:28.7,12.06,11.81
02:34.4,12.1,11.81
02:40.1,12.06,11.81
02:45.8,12.1,11.81
02:51.5,12.08,11.81
02:57.2,12.06,11.81
03:02.9,12.08,11.81
03:08.5,12.08,11.81
03:14.2,12.14,11.81
03:19.9,12.08,11.88
03:25.6,12.12,11.88
03:31.3,12.12,11.88
03:37.0,12.08,11.88
03:42.7,12.14,11.88
03:48.4,12.12,11.88
03:54.1,12.12,11.88
03:59.7,12.16,11.88
04:05.4,12.14,11.88
04:11.1,12.14,11.88
04:16.8,12.1,11.88
04:22.5,12.14,11.88
04:28.2,12.14,11.88
04:33.9,12.12,11.88
04:39.5,12.16,11.88
04:45.2,12.16,11.88
04:50.9,12.18,11.94
04:56.6,12.18,11.88
05:02.3,12.2,11.88
05:08.0,12.18,11.94
05:13.7,12.18,11.94
05:19.4,12.18,11.94
05:25.0,12.16,11.94
05:30.8,12.22,11.94
05:36.4,12.24,11.94
05:42.1,12.22,11.94
05:47.8,12.18,11.94
05:53.5,12.22,11.94
05:59.2,12.2,11.94
06:04.9,12.24,11.94
06:10.5,12.18,11.94
06:16.2,12.24,11.94
06:21.9,12.24,11.94
06:27.6,12.18,11.94
06:33.3,12.26,11.94
06:39.0,12.22,12
06:44.7,12.26,12
06:50.4,12.22,12
06:56.1,12.28,12
07:01.7,12.28,12
07:07.4,12.28,12
07:13.1,12.2,12
07:18.8,12.28,12
07:24.5,12.2,12
07:30.2,12.26,12
07:35.9,12.28,12
07:41.6,12.28,12
07:47.2,12.26,12
07:53.0,12.24,12
07:58.6,12.3,12
08:04.3,12.3,12
08:10.0,12.26,12.06
08:15.7,12.28,12
08:21.4,12.26,12
08:27.1,12.32,12.06
08:32.8,12.28,12.06
08:38.4,12.28,12.06
08:44.1,12.32,12.06
08:49.8,12.34,12.06
08:55.5,12.34,12.06
09:01.2,12.28,12.06
09:06.9,12.3,12.06
09:12.6,12.28,12.06
09:18.3,12.32,12.06
09:23.9,12.34,12.06
09:29.7,12.32,12.06
09:35.3,12.34,12.06
09:41.0,12.36,12.06
09:46.7,12.32,12.06
09:52.4,12.34,12.06
09:58.1,12.3,12.06
10:03.8,12.36,12.06
10:09.4,12.38,12.13
10:15.1,12.4,12.13
10:20.8,12.34,12.13
10:26.5,12.36,12.13
10:32.2,12.38,12.13
10:37.9,12.36,12.13
10:43.6,12.36,12.13
10:49.2,12.42,12.13
10:54.9,12.34,12.13
11:00.6,12.4,12.13
11:06.3,12.38,12.13
11:12.0,12.38,12.13
11:17.7,12.4,12.13
11:23.4,12.4,12.13
11:29.1,12.38,12.13
11:34.8,12.36,12.19
11:40.5,12.42,12.13
11:46.1,12.4,12.13
11:51.8,12.42,12.19
11:57.5,12.4,12.19
12:03.2,12.38,12.19
12:08.9,12.4,12.19
12:14.6,12.42,12.19
12:20.3,12.42,12.19
12:25.9,12.4,12.19
12:31.6,12.42,12.19
12:37.4,12.4,12.19
12:43.0,12.44,12.19
12:48.7,12.44,12.19
12:54.4,12.46,12.19
13:00.1,12.44,12.19
13:05.8,12.48,12.19
13:11.5,12.4,12.19
13:17.1,12.48,12.19
13:22.9,12.46,12.19
13:28.5,12.42,12.19
13:34.2,12.48,12.19
13:39.9,12.42,12.19
13:45.6,12.5,12.19
13:51.3,12.44,12.19
13:57.0,12.5,12.25
14:02.6,12.48,12.25
14:08.3,12.5,12.25
14:14.1,12.44,12.25
14:19.7,12.5,12.25
14:25.4,12.48,12.25
14:31.1,12.5,12.25
14:36.8,12.46,12.25
14:42.5,12.48,12.25
14:48.1,12.5,12.25
14:53.9,12.52,12.25
14:59.6,12.52,12.25
15:05.2,12.5,12.25
15:10.9,12.52,12.25
15:16.6,12.5,12.25
15:22.3,12.54,12.25
15:28.0,12.52,12.25
15:33.7,12.52,12.31
15:39.4,12.52,12.25
15:45.0,12.54,12.25
15:50.7,12.48,12.31
15:56.4,12.52,12.31
16:02.1,12.54,12.31
16:07.8,12.56,12.31
16:13.5,12.58,12.31
16:19.2,12.52,12.31
16:24.8,12.5,12.31
16:30.5,12.58,12.31
16:36.2,12.6,12.31
16:41.9,12.56,12.31
16:47.6,12.54,12.31
16:53.3,12.56,12.31
16:59.0,12.54,12.31
17:04.7,12.58,12.31
17:10.4,12.6,12.31
17:16.1,12.56,12.31
17:21.7,12.58,12.31
17:27.4,12.56,12.31
17:33.1,12.52,12.31
17:38.8,12.58,12.31
17:44.5,12.56,12.38
17:50.2,12.56,12.38
17:55.9,12.58,12.38
18:01.6,12.58,12.38
18:07.2,12.62,12.38
18:12.9,12.64,12.38
18:18.6,12.64,12.38
18:24.3,12.6,12.38
18:30.0,12.62,12.38
18:35.7,12.64,12.38
18:41.4,12.62,12.38
18:47.1,12.6,12.38
18:52.8,12.62,12.38
18:58.5,12.62,12.38
19:04.1,12.64,12.38
19:09.8,12.6,12.38
19:15.5,12.62,12.44
19:21.2,12.66,12.38
19:26.9,12.64,12.44
19:32.6,12.62,12.38
19:38.2,12.6,12.38
19:43.9,12.58,12.44
19:49.6,12.68,12.38
19:55.3,12.68,12.38
20:01.0,12.64,12.38
20:06.7,12.66,12.38
20:12.4,12.7,12.44
20:18.1,12.66,12.44
20:23.7,12.64,12.44
20:29.4,12.7,12.44
20:35.1,12.68,12.44
20:40.8,12.64,12.44
20:46.5,12.7,12.44
20:52.2,12.68,12.44
20:57.9,12.68,12.44
21:03.6,12.66,12.44
21:09.3,12.68,12.44
21:14.9,12.7,12.44
21:20.6,12.7,12.44
21:26.3,12.72,12.44
21:32.0,12.68,12.44
21:37.7,12.72,12.44
21:43.4,12.72,12.44
21:49.1,12.66,12.44
21:54.7,12.68,12.44
22:00.4,12.7,12.5
22:06.1,12.7,12.5
22:11.8,12.7,12.5
22:17.5,12.75,12.5
22:23.2,12.7,12.5
22:28.9,12.7,12.5
22:34.6,12.72,12.5
22:40.3,12.73,12.5
22:45.9,12.72,12.5
22:51.6,12.7,12.5
22:57.3,12.7,12.5
23:03.0,12.7,12.5
23:08.7,12.72,12.5
23:14.4,12.75,12.5
23:20.1,12.7,12.5
23:25.8,12.73,12.5
23:31.4,12.73,12.5
23:37.1,12.73,12.5
23:42.8,12.72,12.5
23:48.5,12.7,12.5
23:54.2,12.72,12.5
23:59.9,12.75,12.5
24:05.6,12.73,12.56
24:11.3,12.72,12.56
24:16.9,12.73,12.56
24:22.7,12.75,12.5
24:28.3,12.73,12.56
24:34.0,12.75,12.56
24:39.7,12.75,12.56
24:45.4,12.77,12.56
24:51.1,12.77,12.56
24:56.8,12.81,12.56
25:02.5,12.79,12.56
25:08.2,12.77,12.56
25:13.8,12.75,12.56
25:19.5,12.77,12.56
25:25.2,12.75,12.56
25:30.9,12.75,12.56
25:36.6,12.73,12.56
25:42.3,12.75,12.56
25:48.0,12.77,12.56
25:53.6,12.75,12.56
25:59.3,12.77,12.56
26:05.0,12.77,12.56
26:10.7,12.79,12.56
26:16.4,12.83,12.56
26:22.1,12.83,12.56
26:27.8,12.81,12.56
26:33.4,12.81,12.56
26:39.1,12.83,12.56
