Time,DigitalTherm,Thermistor
38:06.3,-0.08,-1.06
38:11.9,-0.03,-1
38:17.6,-0.08,-1
38:23.3,0.03,-0.94
38:29.0,0.03,-0.94
38:34.7,0.05,-0.88
38:40.4,0.08,-0.88
38:46.1,0.14,-0.81
38:51.8,0.12,-0.81
38:57.5,0.16,-0.81
39:03.2,0.21,-0.75
39:08.8,0.21,-0.75
39:14.6,0.3,-0.69
39:20.2,0.25,-0.69
39:25.9,0.3,-0.69
39:31.6,0.32,-0.63
39:37.3,0.32,-0.63
39:43.0,0.41,-0.63
39:48.7,0.32,-0.56
39:54.4,0.45,-0.56
40:00.1,0.5,-0.56
40:05.8,0.5,-0.56
40:11.5,0.54,-0.56
40:17.2,0.54,-0.5
40:22.8,0.65,-0.5
40:28.5,0.61,-0.5
40:34.2,0.69,-0.5
40:39.9,0.63,-0.44
40:45.6,0.69,-0.44
40:51.3,0.74,-0.44
40:57.0,0.76,-0.44
41:02.7,0.76,-0.44
41:08.4,0.74,-0.37
41:14.1,0.82,-0.37
41:19.8,0.74,-0.37
41:25.4,0.8,-0.31
41:31.1,0.8,-0.31
41:36.8,0.8,-0.31
41:42.5,0.8,-0.31
41:48.2,0.85,-0.31
41:53.9,0.85,-0.25
41:59.6,0.8,-0.25
42:05.3,0.89,-0.25
42:11.0,0.85,-0.25
42:16.7,0.91,-0.19
42:22.4,0.82,-0.25
42:28.1,0.8,-0.19
42:33.8,0.82,-0.19
42:39.4,0.85,-0.19
42:45.1,0.85,-0.19
42:50.8,0.89,-0.19
42:56.5,0.85,-0.12
43:02.2,0.78,-0.12
43:07.9,0.85,-0.12
43:13.6,0.82,-0.12
43:19.3,0.85,-0.12
43:25.0,0.87,-0.12
43:30.6,0.87,-0.06
43:36.4,0.87,-0.06
43:42.0,0.85,-0.06
43:47.7,0.85,-0.06
43:53.4,0.78,-0.06
43:59.1,0.82,-0.06
44:04.8,0.85,0
44:10.5,0.8,0
44:16.2,0.78,0
44:21.9,0.78,0
44:27.6,0.74,0
44:33.3,0.78,0
44:38.9,0.8,0
44:44.6,0.74,0
44:50.3,0.72,0
44:56.0,0.74,0
45:01.7,0.76,0
45:07.4,0.74,0
45:13.1,0.65,0
45:18.8,0.72,0
45:24.5,0.69,0.06
45:30.2,0.67,0.06
45:35.9,0.69,0.06
45:41.6,0.67,0.06
45:47.2,0.74,0.06
45:52.9,0.74,0.06
45:58.6,0.72,0.06
46:04.3,0.72,0.06
46:10.0,0.67,0.06
46:15.7,0.72,0.06
46:21.4,0.74,0.06
46:27.1,0.63,0.06
46:32.8,0.56,0.06
46:38.5,0.67,0.06
46:44.1,0.65,0.06
46:49.8,0.63,0.06
46:55.5,0.54,0.06
47:01.2,0.58,0.06
47:06.9,0.65,0.06
47:12.6,0.56,0.06
47:18.3,0.56,0.06
47:24.0,0.58,0.06
47:29.7,0.56,0.06
47:35.4,0.61,0.06
47:41.1,0.58,0.06
47:46.7,0.58,0.06
47:52.4,0.56,0.06
47:58.1,0.56,0.06
48:03.8,0.58,0.06
48:09.5,0.58,0.06
48:15.2,0.52,0.06
48:20.9,0.54,0.06
48:26.6,0.56,0.06
48:32.3,0.54,0.06
48:38.0,0.58,0.06
48:43.7,0.54,0.06
48:49.4,0.56,0.06
48:55.0,0.61,0.06
49:00.7,0.58,0.06
49:06.4,0.54,0.06
49:12.1,0.58,0.06
49:17.8,0.58,0.06
49:23.5,0.58,0.06
49:29.2,0.58,0.06
49:34.9,0.58,0.06
49:40.5,0.58,0.06
49:46.3,0.61,0.06
49:52.0,0.58,0.12
49:57.6,0.61,0.06
50:03.3,0.61,0.06
50:09.0,0.58,0.06
50:14.7,0.58,0.06
50:20.4,0.58,0.06
50:26.1,0.58,0.12
50:31.8,0.63,0.06
50:37.5,0.54,0.06
50:43.2,0.61,0.06
50:48.8,0.61,0.06
50:54.6,0.58,0.06
51:00.2,0.54,0.06
51:05.9,0.61,0.06
51:11.6,0.61,0.12
51:17.3,0.61,0.06
51:23.0,0.58,0.06
51:28.7,0.56,0.12
51:34.4,0.67,0.06
51:40.1,0.63,0.06
51:45.8,0.63,0.06
51:51.5,0.65,0.06
51:57.2,0.65,0.06
52:02.9,0.58,0.06
52:08.5,0.63,0.06
52:14.2,0.61,0.06
52:19.9,0.65,0.06
52:25.6,0.65,0.06
52:31.3,0.65,0.06
52:37.0,0.65,0.06
52:42.7,0.61,0.06
52:48.4,0.67,0.06
52:54.1,0.69,0.06
52:59.7,0.65,0.06
53:05.4,0.67,0.06
53:11.1,0.63,0.06
53:16.9,0.69,0.06
53:22.5,0.69,0.06
53:28.2,0.69,0.06
53:33.9,0.72,0.06
53:39.6,0.72,0.06
53:45.3,0.69,0.12
53:50.9,0.69,0.06
53:56.7,0.69,0.06
54:02.4,0.74,0.06
54:08.1,0.69,0.06
54:13.8,0.69,0.06
54:19.4,0.74,0.06
54:25.1,0.67,0.06
54:30.8,0.72,0.12
54:36.5,0.76,0.06
54:42.2,0.72,0.06
54:47.9,0.69,0.06
54:53.6,0.74,0.12
54:59.3,0.67,0.06
55:05.0,0.74,0.12
55:10.6,0.67,0.06
55:16.3,0.69,0.06
55:22.0,0.72,0.06
55:27.7,0.69,0.06
55:33.4,0.65,0.12
55:39.1,0.74,0.06
55:44.8,0.76,0.12
55:50.5,0.69,0.06
55:56.2,0.69,0.06
56:01.9,0.69,0.06
56:07.5,0.67,0.06
56:13.2,0.67,0.06
56:18.9,0.67,0.12
56:24.6,0.65,0.06
56:30.3,0.72,0.06
56:36.0,0.72,0.06
56:41.7,0.74,0.06
56:47.4,0.72,0.06
56:53.1,0.67,0.06
56:58.8,0.67,0.06
57:04.5,0.67,0.06
57:10.1,0.67,0.06
57:15.9,0.69,0.06
57:21.5,0.67,0.06
57:27.2,0.67,0.12
57:32.9,0.72,0.12
57:38.6,0.65,0.12
57:44.3,0.65,0.06
57:50.0,0.65,0.06
57:55.7,0.69,0.06
58:01.4,0.74,0.06
58:07.1,0.69,0.06
58:12.8,0.67,0.06
58:18.4,0.74,0.06
58:24.1,0.67,0.06
58:29.9,0.69,0.06
58:35.5,0.69,0.06
58:41.2,0.65,0.06
58:46.9,0.72,0.06
58:52.6,0.76,0.12
58:58.3,0.74,0.06
59:04.0,0.72,0.12
59:09.7,0.72,0.12
59:15.4,0.69,0.12
59:21.1,0.76,0.06
59:26.8,0.67,0.06
59:32.5,0.67,0.12
59:38.1,0.72,0.06
59:43.8,0.74,0.12
59:49.5,0.74,0.06
59:55.2,0.74,0.06
00:00.9,0.69,0.06
00:06.6,0.67,0.12
00:12.3,0.74,0.06
00:18.0,0.69,0.06
00:23.7,0.72,0.06
00:29.3,0.72,0.06
00:35.0,0.74,0.12
00:40.7,0.74,0.12
00:46.4,0.74,0.06
00:52.1,0.72,0.06
00:57.8,0.72,0.06
01:03.5,0.76,0.06
01:09.2,0.72,0.12
01:14.9,0.76,0.06
01:20.6,0.69,0.12
01:26.2,0.76,0.06
01:31.9,0.74,0.06
01:37.6,0.72,0.06
01:43.3,0.69,0.06
01:49.0,0.74,0.06
01:54.7,0.72,0.12
02:00.4,0.74,0.06
02:06.1,0.76,0.06
02:11.8,0.72,0.06
02:17.5,0.69,0.06
02:23.2,0.74,0.06
02:28.8,0.69,0.06
02:34.5,0.74,0.06
02:40.2,0.74,0.06
02:45.9,0.69,0.06
02:51.6,0.74,0.06
02:57.3,0.69,0.06
03:03.0,0.74,0.06
03:08.7,0.69,0.06
03:14.4,0.67,0.06
03:20.1,0.74,0.06
03:25.8,0.72,0.12
03:31.5,0.69,0.12
03:37.1,0.69,0.06
03:42.8,0.69,0.12
03:48.5,0.69,0.12
03:54.2,0.78,0.06
03:59.9,0.72,0.06
04:05.6,0.72,0.06
04:11.3,0.72,0.12
04:17.0,0.74,0.06
04:22.7,0.78,0.12
04:28.4,0.67,0.06
04:34.1,0.69,0.12
04:39.8,0.74,0.12
04:45.4,0.76,0.06
04:51.2,0.67,0.12
04:56.8,0.72,0.12
05:02.5,0.72,0.12
05:08.2,0.72,0.06
05:13.9,0.65,0.06
05:19.6,0.72,0.06
05:25.3,0.74,0.06
05:31.0,0.76,0.06
05:36.7,0.74,0.06
05:42.4,0.72,0.06
05:48.1,0.72,0.12
05:53.7,0.72,0.06
05:59.4,0.76,0.06
06:05.1,0.72,0.12
06:10.8,0.67,0.12
06:16.5,0.67,0.06
06:22.2,0.69,0.06
06:27.9,0.69,0.06
06:33.6,0.67,0.06
06:39.3,0.76,0.06
06:45.0,0.72,0.12
06:50.6,0.72,0.12
06:56.3,0.72,0.06
07:02.0,0.69,0.06
07:07.7,0.69,0.06
07:13.4,0.72,0.12
07:19.1,0.69,0.06
07:24.8,0.69,0.06
07:30.5,0.67,0.06
07:36.2,0.69,0.12
07:41.9,0.72,0.12
07:47.5,0.72,0.06
07:53.3,0.72,0.06
07:58.9,0.76,0.06
08:04.6,0.72,0.06
08:10.4,0.69,0.06
08:16.0,0.69,0.06
08:21.7,0.67,0.12
08:27.4,0.72,0.06
08:33.1,0.74,0.06
08:38.8,0.72,0.06
08:44.5,0.69,0.06
08:50.2,0.72,0.12
08:55.9,0.69,0.06
09:01.5,0.69,0.12
09:07.2,0.74,0.06
09:12.9,0.76,0.06
09:18.6,0.72,0.06
09:24.3,0.76,0.06
09:30.0,0.76,0.06
09:35.7,0.69,0.06
09:41.4,0.74,0.06
09:47.1,0.67,0.12
09:52.8,0.72,0.06
09:58.4,0.65,0.06
10:04.1,0.69,0.06
10:09.8,0.69,0.06
10:15.5,0.63,0.12
10:21.2,0.67,0.06
10:26.9,0.69,0.06
10:32.6,0.74,0.06
10:38.3,0.72,0.06
10:44.0,0.65,0.12
10:49.7,0.74,0.06
10:55.4,0.67,0.12
11:01.1,0.74,0.06
11:06.7,0.69,0.06
11:12.4,0.76,0.06
11:18.1,0.69,0.06
11:23.8,0.72,0.06
11:29.5,0.72,0.12
11:35.2,0.74,0.06
11:40.9,0.72,0.06
11:46.6,0.67,0.06
11:52.3,0.74,0.06
11:58.0,0.69,0.06
12:03.7,0.69,0.06
12:09.3,0.72,0.06
12:15.0,0.72,0.06
12:20.8,0.74,0.06
12:26.4,0.72,0.12
12:32.1,0.72,0.06
12:37.8,0.74,0.06
12:43.5,0.67,0.06
12:49.2,0.72,0.06
12:54.9,0.69,0.06
13:00.6,0.69,0.06
13:06.2,0.65,0.06
13:11.9,0.74,0.06
13:17.6,0.67,0.12
13:23.3,0.72,0.12
13:29.0,0.67,0.06
13:34.7,0.72,0.06
13:40.4,0.69,0.06
13:46.1,0.67,0.06
13:51.8,0.72,0.06
13:57.5,0.69,0.12
14:03.2,0.76,0.12
14:08.9,0.67,0.12
14:14.6,0.74,0.12
14:20.3,0.67,0.06
14:25.9,0.69,0.06
14:31.6,0.72,0.06
14:37.3,0.69,0.06
14:43.0,0.74,0.06
14:48.7,0.72,0.12
14:54.4,0.76,0.06
15:00.1,0.69,0.06
15:05.8,0.69,0.06
15:11.5,0.69,0.06
15:17.1,0.65,0.06
15:22.8,0.76,0.06
15:28.6,0.72,0.06
15:34.2,0.65,0.06
15:39.9,0.72,0.06
15:45.6,0.67,0.12
15:51.3,0.67,0.12
15:57.0,0.69,0.06
16:02.7,0.72,0.06
