Time,Digital Thermometer,Thermistor
26/01/2021 16:29,1.06,1.26
26/01/2021 16:29,1.06,1.28
26/01/2021 16:29,1.06,1.2
26/01/2021 16:29,1.06,1.28
26/01/2021 16:29,1.06,1.26
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.24
26/01/2021 16:29,1.06,1.2
26/01/2021 16:29,1.06,1.26
26/01/2021 16:29,1.06,1.24
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.3
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.2
26/01/2021 16:29,1.06,1.26
26/01/2021 16:29,1.06,1.2
26/01/2021 16:29,1.06,1.2
26/01/2021 16:29,1.06,1.17
26/01/2021 16:29,1.06,1.15
26/01/2021 16:29,1.06,1.26
26/01/2021 16:29,1.06,1.24
26/01/2021 16:29,1.06,1.24
26/01/2021 16:29,1.06,1.2
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.22
26/01/2021 16:29,1.06,1.22
26/01/2021 16:30,1.06,1.26
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.06,1.17
26/01/2021 16:30,1.06,1.22
26/01/2021 16:30,1.06,1.22
26/01/2021 16:30,1.06,1.24
26/01/2021 16:30,1.06,1.24
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.06,1.15
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.06,1.22
26/01/2021 16:30,1.06,1.17
26/01/2021 16:30,1.06,1.15
26/01/2021 16:30,1.06,1.22
26/01/2021 16:30,1.06,1.17
26/01/2021 16:30,1.06,1.17
26/01/2021 16:30,1.06,1.17
26/01/2021 16:30,1.12,1.2
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.06,1.2
26/01/2021 16:30,1.12,1.2
26/01/2021 16:30,1.12,1.15
26/01/2021 16:30,1.06,1.17
26/01/2021 16:30,1.12,1.17
26/01/2021 16:30,1.12,1.17
26/01/2021 16:30,1.12,1.2
26/01/2021 16:30,1.12,1.17
26/01/2021 16:30,1.12,1.17
26/01/2021 16:30,1.12,1.2
26/01/2021 16:30,1.12,1.17
26/01/2021 16:30,1.12,1.17
26/01/2021 16:30,1.12,1.2
26/01/2021 16:31,1.12,1.17
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.12,1.17
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.12,1.17
26/01/2021 16:31,1.12,1.17
26/01/2021 16:31,1.19,1.22
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.19,1.22
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.19,1.22
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.19,1.15
26/01/2021 16:31,1.19,1.22
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.25,1.2
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.25,1.22
26/01/2021 16:31,1.25,1.15
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.19,1.17
26/01/2021 16:31,1.25,1.17
26/01/2021 16:31,1.19,1.2
26/01/2021 16:31,1.25,1.15
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.2
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.22
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.2
26/01/2021 16:32,1.25,1.2
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.13
26/01/2021 16:32,1.25,1.2
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.13
26/01/2021 16:32,1.25,1.22
26/01/2021 16:32,1.25,1.13
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.13
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.15
26/01/2021 16:32,1.25,1.2
26/01/2021 16:32,1.25,1.17
26/01/2021 16:32,1.25,1.07
26/01/2021 16:32,1.25,1.2
26/01/2021 16:32,1.31,1.13
26/01/2021 16:32,1.25,1.13
26/01/2021 16:33,1.25,1.11
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.25,1.2
26/01/2021 16:33,1.25,1.13
26/01/2021 16:33,1.31,1.15
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.31,1.11
26/01/2021 16:33,1.25,1.17
26/01/2021 16:33,1.25,1.11
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.31,1.17
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.31,1.22
26/01/2021 16:33,1.31,1.13
26/01/2021 16:33,1.25,1.17
26/01/2021 16:33,1.31,1.15
26/01/2021 16:33,1.31,1.11
26/01/2021 16:33,1.25,1.2
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.31,1.17
26/01/2021 16:33,1.25,1.13
26/01/2021 16:33,1.31,1.13
26/01/2021 16:33,1.31,1.13
26/01/2021 16:33,1.25,1.09
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.25,1.15
26/01/2021 16:33,1.25,1.13
26/01/2021 16:33,1.31,1.13
26/01/2021 16:33,1.25,1.11
26/01/2021 16:33,1.25,1.17
26/01/2021 16:33,1.31,1.15
26/01/2021 16:33,1.25,1.13
26/01/2021 16:33,1.31,1.13
26/01/2021 16:33,1.31,1.11
26/01/2021 16:33,1.31,1.17
26/01/2021 16:34,1.31,1.13
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.25,1.15
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.25,1.13
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.31,1.13
26/01/2021 16:34,1.25,1.15
26/01/2021 16:34,1.31,1.11
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.31,1.17
26/01/2021 16:34,1.31,1.13
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.25,1.15
26/01/2021 16:34,1.25,1.09
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.31,1.13
26/01/2021 16:34,1.25,1.07
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.31,1.17
26/01/2021 16:34,1.31,1.13
26/01/2021 16:34,1.31,1.2
26/01/2021 16:34,1.25,1.15
26/01/2021 16:34,1.31,1.15
